Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,59.0,,,
24,22,Aurelius,Lewicki,Aurelius Lewicki, (1.39),55,59, (4.00),,,,,,,
25,22,Jason,Tindell,Jason Tindell, (1.03),55,59, (4.00),,,,,,,
26,26,Life,Gibson,Life Gibson, (1.20),56,59, (3.00),,,,,,,
27,26,Michael,Chulada,Michael Chulada, 2.90 ,56,59, (3.00),,,,,,,
28,28,Greywing,Cooper,Greywing Cooper, (0.29),57,59, (2.00),,,,,,,
29,28,Joel,Tondreau,Joel Tondreau, 0.16 ,57,59, (2.00),,,,,,,
30,28,Scott,Kay,Scott Kay, 2.64 ,57,59, (2.00),,,,,,,
31,28,Benny,Greisman,Benny Greisman,,57,59, (2.00),,,,,,,
32,32,Carl,Miller,Carl Miller, (2.60),58,59, (1.00),$6.00 ,,,,,,
33,32,Corey,Godin,Corey Godin, (1.80),58,59, (1.00),,,,,,,
34,32,Dennis,Condos,Dennis Condos, (0.01),58,59, (1.00),,,,,,,
35,32,Max,Rosen,Max Rosen, 1.43 ,58,59, (1.00),,,,,,,
36,32,Scott,Snyder,Scott Snyder, 2.47 ,58,59, (1.00),,,,,,,
37,32,Mike,Coleman,Mike Coleman, 4.90 ,58,59, (1.00),,,,,,,
38,32,Joe,Graham,Joe Graham, 6.20 ,58,59, (1.00),,,,,,,
39,32,Robert,Nguyen,Robert Nguyen,,58,59, (1.00),,,,,,,
40,32,Phil,Meeker,Phil Meeker,,58,59, (1.00),,,,,,,
41,41,Niel,Jones,Niel Jones, (1.31),59,59, -   ,,,,,,,
42,41,Chris,Culp,Chris Culp, (0.95),59,59, -   ,,,,,,,
43,41,Sean,Scruby,Sean Scruby, (0.54),59,59, -   ,,,,,,,
44,41,Joe,Busby,Joe Busby, (0.41),59,59, -   ,,,,,,,
45,41,Bryan,Coggins,Bryan Coggins, 2.00 ,59,59, -   ,,,,,,,
46,41,Foulad,Albadeh,Foulad Albadeh, 4.14 ,59,59, -   ,,,,,,,
47,41,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick", 6.71 ,59,59, -   ,,,,,,,
48,48,Tony,Newman,Tony Newman, 2.50 ,60,59, 1.00 ,,,,,,,
49,48,Patrick,Wood,Patrick Wood, 5.01 ,60,59, 1.00 ,,,,,,,
50,48,Matt,Brenner,Matt Brenner, 6.00 ,60,59, 1.00 ,,,,,,,
51,51,Alex,Torres,Alex Torres, 0.20 ,61,59, 2.00 ,,,,,,,
52,52,Nate,Ringor,Nate Ringor, 0.68 ,62,59, 3.00 ,,,,,,,
53,52,Kevin,Smeds,Kevin Smeds, 2.91 ,62,59, 3.00 ,,,,,,,
54,54,Matt,Friesen,Matt Friesen, (0.22),63,59, 4.00 ,,,,,,,
55,54,Mike,Ridley,Mike Ridley, 3.24 ,63,59, 4.00 ,,,,,,,
56,54,Mike,Nejad,Mike Nejad, 5.44 ,63,59, 4.00 ,,,,,,,
57,54,Colin,Sanders,Colin Sanders, 7.11 ,63,59, 4.00 ,,,,,,,
58,58,KP,Hunter,KP Hunter, (0.49),64,59, 5.00 ,,,,,,,
59,58,Harry,Snodgrass,Harry Snodgrass, 4.01 ,64,59, 5.00 ,,,,,,,
60,58,Brian,Kiley,Brian Kiley, 5.77 ,64,59, 5.00 ,,,,,,,
61,58,Beau,Griffin,Beau Griffin, 5.92 ,64,59, 5.00 ,,,,,,,
62,58,Don,Pierotti,Don Pierotti, 8.15 ,64,59, 5.00 ,,,,,,,
63,58,John,Braidman,John Braidman,,64,59, 5.00 ,,,,,,,
64,64,Kim,Sturdevant,Kim Sturdevant, 1.82 ,65,59, 6.00 ,,,,,,,
65,64,Sean,Saxton,Sean Saxton, 4.43 ,65,59, 6.00 ,,,,,,,
66,64,Brandon,Nolan,Brandon Nolan, 4.60 ,65,59, 6.00 ,,,,,,,
67,64,William,Matheny IV,William Matheny IV, 7.49 ,65,59, 6.00 ,,,,,,,
68,68,Viento,Nieto,Viento Nieto, 0.23 ,66,59, 7.00 ,,,,,,,
69,68,Brad,King,Brad King, 1.60 ,66,59, 7.00 ,,,,,,,
70,68,Matt,Poland,Matt Poland, 3.67 ,66,59, 7.00 ,,,,,,,
71,68,Kelsey,Wilmerding,Kelsey Wilmerding, 7.00 ,66,59, 7.00 ,,,,,,,
72,68,Marco,Benites,Marco Benites,,66,59, 7.00 ,,,,,,,
73,73,Derek,Meyers,Derek Meyers, 9.79 ,67,59, 8.00 ,,,,,,,
74,74,Moon,Johnson,Moon Johnson, 5.56 ,68,59, 9.00 ,,,,,,,
75,74,Vince,Mardigras,Vince Mardigras, 6.43 ,68,59, 9.00 ,,,,,,,
76,76,Alaw,Guo,Alaw Guo, 8.16 ,69,59, 10.00 ,,,,,,,
77,76,Daniel,Tarango,Daniel Tarango, 8.97 ,69,59, 10.00 ,,,,,,,
78,78,Nick,Friesen,Nick Friesen, 6.45 ,70,59, 11.00 ,,,,,,,
79,79,Chris,Isom,Chris Isom, 6.69 ,71,59, 12.00 ,,,,,,,
80,79,Derf,Lewis,Derf Lewis, 9.03 ,71,59, 12.00 ,,,,,,,
81,81,Roger,Crain,Roger Crain,,72,59, 13.00 ,,,,,,,
82,82,Tommy Lee,Leighton,Tommy Lee Leighton, 1.00 ,74,59, 15.00 ,,,,,,,
83,83,Liz,Simonsen,Liz Simonsen, 7.67 ,79,59, 20.00 ,,,,,,,
84,84,Alexandria,Cronin,Alexandria Cronin,,122,59, 63.00 ,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
